G	P1D	P1L	P1Fs	P1Ts	P1DTs	P1Fit	P1Behav	P2D	P2L	P2Fs	P2Ts	P2DTs	P2Fit	P2Behav	CD	CL	CFs	CTs	CDTs	CFit	CBehav	Mod_D
1	4	9	5	4	2	10.0	31.25	2	5	2	3	3	8.0	25.0	2	5	2	3	1	10.0	31.25	2
1	3	9	4	5	4	8.0	25.0	2	7	3	4	4	10.0	31.25	1	3	1	2	2	10.0	31.25	1
1	3	9	4	5	4	8.0	25.0	2	7	3	4	4	10.0	31.25	4	13	6	7	5	11.0	34.375	2
1	2	5	2	3	3	8.0	25.0	5	57	29	28	5	9.0	28.125	1	2	1	1	1	22.0	68.75	1
1	2	5	2	3	3	8.0	25.0	5	57	29	28	5	9.0	28.125	6	60	30	30	5	11.0	34.375	5
1	2	6	2	4	4	10.0	31.25	3	17	8	9	4	8.0	25.0	3	11	5	6	3	12.0	37.5	2
1	5	122	58	64	5	10.0	31.25	5	25	13	12	4	10.0	31.25	6	29	15	14	4	12.0	37.5	5
1	2	6	2	4	4	10.0	31.25	2	5	2	3	3	8.0	25.0	3	8	3	5	4	12.0	37.5	2
1	2	6	2	4	4	10.0	31.25	2	5	2	3	3	8.0	25.0	1	3	1	2	2	10.0	31.25	1
1	2	6	2	4	3	8.0	25.0	1	3	1	2	2	10.0	31.25	2	5	2	3	3	12.0	37.5	2
1	2	5	2	3	3	8.0	25.0	2	6	2	4	4	10.0	31.25	1	4	1	3	3	10.0	31.25	1
1	2	6	2	4	4	10.0	31.25	2	8	3	5	3	8.0	25.0	3	10	4	6	4	10.0	31.25	2
1	2	5	2	3	3	8.0	25.0	2	7	2	5	3	8.0	25.0	1	4	1	3	3	10.0	31.25	1
1	2	5	2	3	3	8.0	25.0	2	7	2	5	3	8.0	25.0	3	8	3	5	3	10.0	31.25	2
1	6	136	70	66	5	10.0	31.25	2	5	2	3	3	8.0	25.0	0	1	0	1	1	10.0	31.25	0
1	2	10	4	6	4	8.0	25.0	3	25	11	14	5	10.0	31.25	3	23	10	13	5	14.0	43.75	2
1	2	6	2	4	4	10.0	31.25	2	5	2	3	3	8.0	25.0	2	5	2	3	3	12.0	37.5	2
1	2	6	2	4	4	10.0	31.25	2	5	2	3	3	8.0	25.0	2	6	2	4	4	10.0	31.25	2
1	2	6	2	4	3	8.0	25.0	5	122	58	64	5	10.0	31.25	7	127	60	67	5	10.0	31.25	2
1	2	5	2	3	3	8.0	25.0	2	5	2	3	2	10.0	31.25	2	4	2	2	2	16.0	50.0	2
1	2	10	4	6	4	8.0	25.0	4	50	20	30	5	8.0	25.0	2	11	4	7	4	10.0	31.25	2
1	2	10	4	6	4	8.0	25.0	4	50	20	30	5	8.0	25.0	4	49	20	29	5	9.0	28.125	4
1	6	136	70	66	5	10.0	31.25	2	5	2	3	3	8.0	25.0	1	4	1	3	2	10.0	31.25	1
1	2	5	2	3	2	10.0	31.25	5	122	58	64	5	10.0	31.25	2	6	3	3	2	16.0	50.0	1
1	4	12	6	6	4	8.0	25.0	5	57	29	28	5	9.0	28.125	2	8	3	5	4	12.0	37.5	1
1	4	12	6	6	4	8.0	25.0	5	25	13	12	4	10.0	31.25	4	23	12	11	4	14.0	43.75	2
1	2	7	2	5	3	8.0	25.0	1	4	1	3	2	10.0	31.25	1	4	1	3	2	10.0	31.25	1
1	2	6	2	4	3	8.0	25.0	6	12	6	6	4	10.0	31.25	5	10	5	5	3	10.0	31.25	1
1	2	6	2	4	2	10.0	31.25	4	12	6	6	4	8.0	25.0	5	15	7	8	3	10.0	31.25	4
1	2	10	4	6	4	8.0	25.0	2	5	2	3	3	8.0	25.0	1	4	1	3	3	10.0	31.25	1
1	3	17	8	9	4	8.0	25.0	2	7	3	4	2	10.0	31.25	3	17	8	9	4	10.0	31.25	3
1	2	5	2	3	3	8.0	25.0	3	17	8	9	4	8.0	25.0	2	7	3	4	4	10.0	31.25	1
1	2	5	2	3	3	8.0	25.0	3	17	8	9	4	8.0	25.0	3	15	7	8	3	10.0	31.25	2
1	4	12	6	6	4	8.0	25.0	5	122	58	64	5	10.0	31.25	3	12	5	7	4	16.0	50.0	3
1	5	48	25	23	5	15.0	46.875	1	3	1	2	2	10.0	31.25	3	9	4	5	3	22.0	68.75	1
1	5	48	25	23	5	15.0	46.875	2	6	2	4	4	10.0	31.25	5	44	23	21	5	16.0	50.0	4
1	5	48	25	23	5	15.0	46.875	2	6	2	4	4	10.0	31.25	3	10	4	6	3	12.0	37.5	2
1	1	3	1	2	1	10.0	31.25	2	5	2	3	3	8.0	25.0	1	3	1	2	1	10.0	31.25	1
1	1	4	1	3	2	10.0	31.25	2	5	2	3	3	8.0	25.0	2	5	2	3	2	10.0	31.25	2
1	5	57	29	28	5	9.0	28.125	5	122	58	64	5	10.0	31.25	8	87	43	44	5	10.0	31.25	5
1	5	57	29	28	5	9.0	28.125	5	122	58	64	5	10.0	31.25	5	92	44	48	5	20.0	62.5	2
1	2	7	3	4	4	10.0	31.25	4	50	20	30	5	8.0	25.0	2	6	3	3	3	18.0	56.25	2
1	6	136	70	66	5	10.0	31.25	2	7	3	4	2	10.0	31.25	2	4	2	2	2	22.0	68.75	1
1	4	10	4	6	5	8.0	25.0	4	10	4	6	5	8.0	25.0	6	16	6	10	5	10.0	31.25	3
1	4	10	4	6	5	8.0	25.0	4	10	4	6	5	8.0	25.0	2	4	2	2	2	16.0	50.0	1
1	3	9	4	5	4	8.0	25.0	3	17	8	9	4	8.0	25.0	2	9	4	5	3	12.0	37.5	1
1	4	10	4	6	5	8.0	25.0	1	4	1	3	2	10.0	31.25	4	12	4	8	5	10.0	31.25	4
1	4	10	4	6	5	8.0	25.0	1	4	1	3	2	10.0	31.25	1	2	1	1	1	22.0	68.75	1
1	2	6	2	4	3	8.0	25.0	1	4	1	3	3	10.0	31.25	1	4	1	3	3	10.0	31.25	1
1	6	136	70	66	5	10.0	31.25	2	7	2	5	3	8.0	25.0	1	4	1	3	3	10.0	31.25	1
1	4	26	13	13	5	11.0	34.375	2	7	3	4	4	10.0	31.25	3	13	6	7	5	18.0	56.25	2
1	2	5	2	3	2	10.0	31.25	4	26	13	13	5	11.0	34.375	4	15	8	7	4	16.0	50.0	2
1	2	7	2	5	3	8.0	25.0	3	17	8	9	4	8.0	25.0	3	15	7	8	5	10.0	31.25	2
1	5	48	25	23	5	15.0	46.875	2	5	2	3	3	8.0	25.0	1	3	1	2	2	10.0	31.25	1
1	2	5	2	3	3	8.0	25.0	2	7	3	4	2	10.0	31.25	2	5	2	3	3	12.0	37.5	1
1	3	8	3	5	4	10.0	31.25	6	12	6	6	4	10.0	31.25	4	8	4	4	3	12.0	37.5	1
1	2	6	2	4	2	10.0	31.25	1	4	1	3	2	10.0	31.25	2	6	2	4	3	12.0	37.5	2
1	1	3	1	2	2	10.0	31.25	4	12	6	6	4	8.0	25.0	2	4	2	2	2	22.0	68.75	1
1	1	3	1	2	2	10.0	31.25	4	12	6	6	4	8.0	25.0	3	11	5	6	3	18.0	56.25	3
1	4	26	13	13	5	11.0	34.375	4	10	4	6	5	8.0	25.0	4	19	10	9	5	12.0	37.5	2
1	4	26	13	13	5	11.0	34.375	4	10	4	6	5	8.0	25.0	4	17	7	10	5	11.0	34.375	2
1	2	6	2	4	2	10.0	31.25	4	10	4	6	5	8.0	25.0	1	4	1	3	2	10.0	31.25	1
1	1	3	1	2	2	10.0	31.25	2	5	2	3	3	8.0	25.0	1	3	1	2	2	10.0	31.25	1
1	6	136	70	66	5	10.0	31.25	5	57	29	28	5	9.0	28.125	5	50	26	24	5	10.0	31.25	4
1	2	5	2	3	3	8.0	25.0	2	5	2	3	3	8.0	25.0	1	3	1	2	2	10.0	31.25	1
1	2	5	2	3	3	8.0	25.0	2	5	2	3	3	8.0	25.0	3	7	3	4	4	10.0	31.25	2
1	5	25	13	12	4	10.0	31.25	2	10	4	6	4	8.0	25.0	2	4	2	2	2	22.0	68.75	1
1	2	8	3	5	3	8.0	25.0	3	25	11	14	5	10.0	31.25	2	9	4	5	4	18.0	56.25	1
1	2	5	2	3	3	8.0	25.0	2	6	2	4	4	10.0	31.25	2	6	2	4	3	10.0	31.25	2
1	2	5	2	3	3	8.0	25.0	9	136	64	72	5	2.0	6.25	3	8	3	5	2	10.0	31.25	2
1	2	5	2	3	3	8.0	25.0	9	136	64	72	5	2.0	6.25	1	3	1	2	2	10.0	31.25	1
1	2	6	2	4	3	8.0	25.0	2	6	2	4	2	10.0	31.25	2	5	2	3	2	10.0	31.25	2
1	2	6	2	4	2	10.0	31.25	2	7	3	4	4	10.0	31.25	3	9	4	5	4	12.0	37.5	2
1	1	4	1	3	3	10.0	31.25	6	136	70	66	5	10.0	31.25	6	137	70	67	5	12.0	37.5	6
1	3	25	11	14	5	10.0	31.25	2	5	2	3	3	8.0	25.0	2	9	4	5	4	18.0	56.25	1
1	5	122	58	64	5	10.0	31.25	3	8	3	5	2	10.0	31.25	5	124	58	66	5	16.0	50.0	5
1	5	122	58	64	5	10.0	31.25	3	8	3	5	2	10.0	31.25	3	6	3	3	3	14.0	43.75	3
1	2	7	2	5	3	8.0	25.0	2	7	3	4	4	10.0	31.25	1	3	1	2	2	10.0	31.25	1
1	4	26	13	13	5	11.0	34.375	5	48	25	23	5	15.0	46.875	4	25	13	12	5	14.0	43.75	4
1	2	6	2	4	3	8.0	25.0	2	8	3	5	3	8.0	25.0	1	3	1	2	2	10.0	31.25	1
1	2	5	2	3	3	8.0	25.0	4	9	5	4	2	10.0	31.25	3	9	4	5	2	10.0	31.25	2
1	2	7	3	4	2	10.0	31.25	4	50	20	30	5	8.0	25.0	5	54	22	32	5	9.0	28.125	4
1	2	6	2	4	2	10.0	31.25	2	6	2	4	4	10.0	31.25	2	6	2	4	3	12.0	37.5	2
1	6	307	140	167	5	9.0	28.125	2	6	2	4	4	10.0	31.25	4	23	10	13	5	13.0	40.625	2
1	3	25	11	14	5	10.0	31.25	2	6	2	4	4	10.0	31.25	2	4	2	2	2	16.0	50.0	2
1	2	5	2	3	3	8.0	25.0	9	136	64	72	5	2.0	6.25	2	6	2	4	2	10.0	31.25	1
1	2	5	2	3	3	8.0	25.0	9	136	64	72	5	2.0	6.25	2	5	2	3	3	8.0	25.0	1
1	2	6	2	4	2	10.0	31.25	2	5	2	3	3	8.0	25.0	2	5	2	3	3	12.0	37.5	2
1	2	6	2	4	2	10.0	31.25	2	5	2	3	3	8.0	25.0	2	6	2	4	3	12.0	37.5	2
1	2	5	2	3	2	10.0	31.25	3	9	4	5	4	8.0	25.0	1	2	1	1	1	22.0	68.75	1
1	1	4	1	3	2	10.0	31.25	6	307	140	167	5	9.0	28.125	3	20	8	12	4	14.0	43.75	1
1	2	7	3	4	4	10.0	31.25	3	25	11	14	5	10.0	31.25	4	29	13	16	5	12.0	37.5	2
1	5	122	58	64	5	10.0	31.25	2	6	2	4	2	10.0	31.25	2	7	3	4	3	14.0	43.75	1
1	2	6	2	4	2	10.0	31.25	2	6	2	4	3	8.0	25.0	3	8	3	5	2	10.0	31.25	2
1	5	25	13	12	4	10.0	31.25	2	5	2	3	3	8.0	25.0	1	2	1	1	1	22.0	68.75	1
1	5	25	13	12	4	10.0	31.25	6	307	140	167	5	9.0	28.125	7	309	141	168	5	10.0	31.25	6
1	9	136	64	72	5	2.0	6.25	6	307	140	167	5	9.0	28.125	0	1	0	1	1	10.0	31.25	0
1	2	5	2	3	2	10.0	31.25	2	5	2	3	3	8.0	25.0	3	7	3	4	2	10.0	31.25	2
1	2	6	2	4	2	10.0	31.25	2	5	2	3	3	8.0	25.0	2	6	2	4	2	10.0	31.25	1
1	2	5	2	3	3	8.0	25.0	2	6	2	4	3	8.0	25.0	1	3	1	2	2	10.0	31.25	1
1	1	4	1	3	3	10.0	31.25	2	5	2	3	2	10.0	31.25	1	2	1	1	1	22.0	68.75	1
1	5	25	13	12	4	10.0	31.25	1	4	1	3	3	10.0	31.25	5	23	11	12	5	11.0	34.375	3
1	2	6	2	4	4	10.0	31.25	2	10	4	6	4	8.0	25.0	0	1	0	1	1	10.0	31.25	0
1	2	6	2	4	2	10.0	31.25	2	10	4	6	4	8.0	25.0	3	9	3	6	4	12.0	37.5	2
1	1	3	1	2	1	10.0	31.25	2	5	2	3	3	8.0	25.0	1	3	1	2	1	10.0	31.25	1
1	1	4	1	3	3	10.0	31.25	2	7	3	4	2	10.0	31.25	2	8	3	5	4	12.0	37.5	2
