G	P1PT	P1SC	P1NC	P2PT	P2SC	P2NC	CPT	CSC	CNC
3	9.0	0.5625	10	3.0	0.3125	5	8.0	0.5	9
3	5.0	0.5	7	9.0	0.5625	10	9.0	0.65625	9
3	3.0	0.4375	5	8.0	0.625	9	5.0	0.375	8
3	4.0	0.28125	6	3.0	0.4375	5	5.0	0.34375	7
3	6.0	0.5625	7	2.0	0.375	4	3.0	0.5	5
3	8.0	0.625	9	9.0	0.5625	10	9.0	0.65625	9
3	8.0	0.625	9	2.0	0.375	4	8.0	0.59375	10
3	2.0	0.375	3	9.0	0.5625	10	9.0	0.59375	10
3	5.0	0.5	7	8.0	0.625	9	8.0	0.59375	10
3	3.0	0.5	4	2.0	0.375	4	4.0	0.5	6
3	7.0	0.53125	7	4.0	0.4375	6	7.0	0.53125	10
3	3.0	0.5	4	8.0	0.625	9	8.0	0.59375	10
3	4.0	0.4375	6	9.0	0.5625	10	8.0	0.5625	9
3	2.0	0.375	3	5.0	0.40625	9	5.0	0.40625	9
3	8.0	0.625	9	3.0	0.625	4	8.0	0.625	10
3	4.0	0.4375	6	2.0	0.375	3	6.0	0.53125	7
3	2.0	0.375	3	3.0	0.5	4	3.0	0.5	4
3	5.0	0.5	7	2.0	0.625	3	5.0	0.5	7
3	8.0	0.625	9	2.0	0.375	4	8.0	0.625	9
3	5.0	0.5	7	2.0	0.375	4	9.0	0.59375	11
3	3.0	0.5	4	2.0	0.375	4	5.0	0.5625	6
3	8.0	0.625	9	5.0	0.40625	9	7.0	0.59375	8
4	4.0	0.4375	6	6.0	0.5625	7	6.0	0.53125	8
4	9.0	0.6875	10	6.0	0.6875	7	6.0	0.59375	7
4	6.0	0.5625	7	7.0	0.53125	10	5.0	0.53125	6
4	8.0	0.625	9	7.0	0.53125	10	8.0	0.59375	10
4	9.0	0.59375	11	5.0	0.6875	4	9.0	0.59375	11
4	5.0	0.6875	4	8.0	0.625	9	8.0	0.65625	9
4	10.0	0.625	11	7.0	0.5	11	9.0	0.59375	11
4	8.0	0.5625	9	4.0	0.5	6	8.0	0.53125	10
4	6.0	0.5625	7	7.0	0.5	11	8.0	0.46875	12
4	7.0	0.5	11	9.0	0.65625	10	10.0	0.625	11
4	7.0	0.5	11	9.0	0.65625	10	7.0	0.40625	10
4	7.0	0.5	11	9.0	0.65625	10	10.0	0.625	11
4	8.0	0.625	9	3.0	0.5	4	8.0	0.625	8
4	5.0	0.40625	9	7.0	0.53125	7	6.0	0.4375	10
4	4.0	0.4375	6	7.0	0.53125	7	7.0	0.53125	7
4	8.0	0.40625	9	5.0	0.375	8	9.0	0.4375	11
4	9.0	0.65625	9	7.0	0.5	11	8.0	0.46875	12
4	6.0	0.5625	7	3.0	0.5	4	7.0	0.59375	7
4	8.0	0.625	9	9.0	0.65625	9	8.0	0.5	8
4	3.0	0.5	4	8.0	0.625	9	8.0	0.625	8
4	7.0	0.5	11	8.0	0.625	9	8.0	0.46875	12
4	5.0	0.40625	9	5.0	0.40625	9	6.0	0.4375	10
4	5.0	0.5	7	5.0	0.375	8	4.0	0.46875	8
4	8.0	0.5	9	8.0	0.59375	10	9.0	0.5625	11
4	5.0	0.5	7	4.0	0.4375	6	9.0	0.65625	10
4	6.0	0.6875	7	5.0	0.375	8	8.0	0.65625	8
4	6.0	0.4375	9	6.0	0.5625	7	7.0	0.625	8
4	3.0	0.5	4	7.0	0.5	11	8.0	0.46875	12
4	8.0	0.625	9	4.0	0.5	6	9.0	0.59375	11
4	8.0	0.59375	10	7.0	0.5	11	9.0	0.5	12
4	9.0	0.6875	10	8.0	0.625	9	9.0	0.65625	10
4	6.0	0.5625	7	9.0	0.65625	10	6.0	0.53125	8
4	9.0	0.6875	10	8.0	0.625	9	9.0	0.65625	11
4	9.0	0.6875	10	10.0	0.625	11	4.0	0.53125	7
4	8.0	0.5	9	8.0	0.625	9	7.0	0.5625	9
4	6.0	0.5625	7	8.0	0.5	9	9.0	0.59375	10
4	6.0	0.53125	7	7.0	0.5	11	6.0	0.375	9
4	6.0	0.5625	7	8.0	0.625	9	4.0	0.46875	8
4	4.0	0.5	6	8.0	0.5	9	8.0	0.53125	11
5	8.0	0.59375	10	6.0	0.4375	9	9.0	0.5625	11
5	8.0	0.5	9	8.0	0.59375	10	8.0	0.53125	10
5	6.0	0.4375	9	6.0	0.46875	7	8.0	0.46875	9
5	8.0	0.46875	12	8.0	0.59375	10	9.0	0.5	11
5	9.0	0.4375	11	8.0	0.5625	9	8.0	0.53125	10
5	4.0	0.46875	8	8.0	0.5625	9	7.0	0.4375	10
5	8.0	0.5	9	6.0	0.375	9	9.0	0.5	10
5	6.0	0.4375	9	8.0	0.46875	12	7.0	0.40625	10
5	8.0	0.59375	10	9.0	0.59375	11	7.0	0.5625	9
5	7.0	0.4375	7	8.0	0.5625	9	6.0	0.46875	5
5	6.0	0.375	9	8.0	0.59375	10	8.0	0.59375	9
5	4.0	0.4375	6	7.0	0.4375	7	7.0	0.4375	7
5	9.0	0.5	12	8.0	0.5	9	8.0	0.46875	10
5	8.0	0.59375	10	6.0	0.46875	9	8.0	0.5625	11
5	9.0	0.4375	11	6.0	0.4375	9	8.0	0.4375	11
5	10.0	0.625	11	8.0	0.46875	12	7.0	0.40625	10
5	6.0	0.4375	9	6.0	0.4375	9	7.0	0.46875	10
5	5.0	0.375	8	9.0	0.5	12	10.0	0.53125	12
5	8.0	0.59375	10	4.0	0.4375	6	4.0	0.46875	8
5	9.0	0.4375	11	8.0	0.46875	12	8.0	0.46875	9
