G	P1D	P1L	P1Fs	P1Ts	P1DTs	P1Fit	P1Behav	P2D	P2L	P2Fs	P2Ts	P2DTs	P2Fit	P2Behav	CD	CL	CFs	CTs	CDTs	CFit	CBehav	Mod_D
2	4	50	20	30	5	8.0	25.0	3	11	4	7	4	8.0	25.0	4	51	19	32	5	6.0	18.75	3
2	2	7	3	4	3	8.0	25.0	6	138	71	67	5	10.0	31.25	6	120	61	59	5	7.0	21.875	4
2	2	5	2	3	3	8.0	25.0	2	8	3	5	3	8.0	25.0	3	9	4	5	5	5.0	15.625	2
2	2	6	2	4	2	10.0	31.25	4	14	6	8	4	8.0	25.0	3	7	3	4	4	8.0	25.0	1
2	4	51	20	31	5	6.0	18.75	6	307	140	167	5	9.0	28.125	4	51	20	31	5	5.0	15.625	4
2	5	14	6	8	5	8.0	25.0	3	9	3	6	3	10.0	31.25	4	12	5	7	4	8.0	25.0	2
2	4	49	20	29	5	8.0	25.0	3	8	3	5	3	8.0	25.0	5	51	21	30	5	7.0	21.875	4
2	2	5	2	3	3	8.0	25.0	1	4	1	3	2	10.0	31.25	2	6	2	4	3	8.0	25.0	1
2	4	49	20	29	5	9.0	28.125	5	121	57	64	5	9.0	28.125	5	119	55	64	5	6.0	18.75	4
2	3	9	4	5	5	7.0	21.875	3	11	4	7	3	8.0	25.0	3	12	5	7	5	6.0	18.75	3
2	4	11	4	7	4	8.0	25.0	2	6	2	4	2	10.0	31.25	5	14	5	9	4	8.0	25.0	2
2	4	49	20	29	5	9.0	28.125	2	7	2	5	3	8.0	25.0	3	19	6	13	5	7.0	21.875	1
2	3	17	8	9	4	8.0	25.0	2	8	3	5	3	8.0	25.0	3	10	4	6	3	6.0	18.75	2
2	4	50	20	30	5	8.0	25.0	5	53	22	31	5	7.0	21.875	4	22	10	12	5	6.0	18.75	2
2	3	17	8	9	4	8.0	25.0	3	17	8	9	4	8.0	25.0	17	412	193	219	5	0.0	0.0	1
2	5	11	6	5	5	7.0	21.875	4	11	5	6	4	8.0	25.0	5	13	7	6	5	7.0	21.875	3
2	4	51	20	31	5	6.0	18.75	4	11	4	7	4	8.0	25.0	4	51	20	31	5	5.0	15.625	4
2	4	51	20	31	5	6.0	18.75	6	54	22	32	5	8.0	25.0	6	53	22	31	5	7.0	21.875	4
2	6	54	22	32	5	8.0	25.0	4	11	4	7	4	8.0	25.0	7	61	25	36	5	7.0	21.875	4
2	3	7	3	4	3	8.0	25.0	4	11	4	7	4	8.0	25.0	5	12	5	7	5	7.0	21.875	3
2	2	6	2	4	3	8.0	25.0	2	6	2	4	3	8.0	25.0	4	11	4	7	5	7.0	21.875	2
2	4	15	7	8	4	6.0	18.75	4	51	20	31	5	6.0	18.75	4	42	17	25	5	5.0	15.625	3
2	1	4	1	3	2	10.0	31.25	5	14	6	8	5	8.0	25.0	4	12	5	7	4	8.0	25.0	1
2	3	11	4	7	3	8.0	25.0	4	15	7	8	4	6.0	18.75	4	15	7	8	4	6.0	18.75	2
2	3	17	8	9	4	8.0	25.0	3	11	4	7	4	8.0	25.0	2	7	3	4	4	6.0	18.75	2
2	5	121	57	64	5	9.0	28.125	2	5	2	3	3	8.0	25.0	5	122	57	65	5	7.0	21.875	5
2	5	11	6	5	5	7.0	21.875	3	11	4	7	4	8.0	25.0	5	11	6	5	5	7.0	21.875	1
2	5	14	6	8	5	8.0	25.0	6	138	71	67	5	10.0	31.25	6	88	47	41	5	8.0	25.0	3
2	1	4	1	3	2	10.0	31.25	2	6	2	4	3	8.0	25.0	2	7	2	5	3	8.0	25.0	1
2	3	11	4	7	3	8.0	25.0	4	49	20	29	5	9.0	28.125	4	51	20	31	5	7.0	21.875	4
2	2	5	2	3	3	8.0	25.0	4	14	6	8	4	8.0	25.0	4	15	7	8	4	6.0	18.75	2
2	4	50	20	30	5	8.0	25.0	2	5	2	3	3	8.0	25.0	4	48	19	29	5	7.0	21.875	3
2	4	50	20	30	5	8.0	25.0	3	17	8	9	4	8.0	25.0	2	11	4	7	4	6.0	18.75	1
3	5	11	6	5	5	7.0	21.875	6	48	20	28	5	8.0	25.0	6	47	21	26	5	6.0	18.75	3
3	3	10	4	6	4	8.0	25.0	4	11	4	7	3	8.0	25.0	5	18	7	11	5	6.0	18.75	2
3	2	7	2	5	3	8.0	25.0	3	10	4	6	4	8.0	25.0	3	14	5	9	5	7.0	21.875	2
3	4	15	7	8	4	6.0	18.75	3	11	4	7	4	8.0	25.0	4	9	5	4	4	6.0	18.75	2
3	3	19	6	13	5	7.0	21.875	2	6	2	4	3	8.0	25.0	4	21	7	14	5	6.0	18.75	3
3	5	14	6	8	5	8.0	25.0	5	14	6	8	5	8.0	25.0	2	7	3	4	4	6.0	18.75	2
3	2	7	2	5	3	8.0	25.0	3	9	4	5	4	8.0	25.0	2	7	3	4	4	6.0	18.75	1
3	3	11	4	7	4	6.0	18.75	3	9	3	6	4	8.0	25.0	6	19	7	12	5	5.0	15.625	3
3	5	119	55	64	5	6.0	18.75	3	11	4	7	4	8.0	25.0	5	120	54	66	5	4.0	12.5	4
3	4	51	19	32	5	6.0	18.75	3	9	3	6	4	8.0	25.0	5	47	18	29	5	4.0	12.5	3
3	3	11	4	7	4	6.0	18.75	4	51	19	32	5	6.0	18.75	4	46	17	29	5	5.0	15.625	3
3	4	11	5	6	4	8.0	25.0	8	61	25	36	5	6.0	18.75	6	29	13	16	5	6.0	18.75	3
3	3	9	4	5	5	7.0	21.875	4	11	5	6	4	8.0	25.0	6	17	8	9	5	7.0	21.875	4
3	4	51	20	31	5	6.0	18.75	3	11	4	7	3	8.0	25.0	2	11	4	7	4	6.0	18.75	1
3	5	54	21	33	5	6.0	18.75	4	51	19	32	5	6.0	18.75	4	50	19	31	5	5.0	15.625	4
3	5	54	21	33	5	6.0	18.75	3	9	4	5	4	8.0	25.0	4	46	18	28	5	5.0	15.625	3
3	2	5	2	3	3	8.0	25.0	4	51	19	32	5	6.0	18.75	4	50	19	31	5	5.0	15.625	4
3	5	18	8	10	4	6.0	18.75	5	54	21	33	5	6.0	18.75	7	55	23	32	5	5.0	15.625	4
3	3	10	4	6	3	6.0	18.75	3	11	4	7	3	8.0	25.0	3	13	5	8	4	6.0	18.75	2
3	3	9	4	5	5	5.0	15.625	4	15	7	8	4	6.0	18.75	4	14	7	7	5	5.0	15.625	3
3	3	10	4	6	3	6.0	18.75	5	54	21	33	5	6.0	18.75	4	50	20	30	5	5.0	15.625	4
3	4	15	7	8	4	6.0	18.75	4	51	19	32	5	6.0	18.75	4	48	18	30	5	4.0	12.5	3
3	2	5	2	3	3	8.0	25.0	5	54	26	28	5	7.0	21.875	5	54	26	28	5	7.0	21.875	1
3	8	61	25	36	5	6.0	18.75	2	7	2	5	3	8.0	25.0	8	64	26	38	5	4.0	12.5	4
3	4	15	7	8	4	6.0	18.75	2	6	2	4	3	8.0	25.0	4	12	6	6	5	5.0	15.625	2
3	2	5	2	3	3	8.0	25.0	3	10	4	6	3	6.0	18.75	3	10	4	6	3	6.0	18.75	1
3	5	18	8	10	4	6.0	18.75	4	11	4	7	4	8.0	25.0	5	18	8	10	4	6.0	18.75	2
3	5	54	21	33	5	6.0	18.75	3	9	4	5	4	8.0	25.0	5	54	21	33	5	6.0	18.75	1
3	3	11	4	7	4	6.0	18.75	3	11	4	7	3	8.0	25.0	4	18	7	11	5	5.0	15.625	2
3	3	10	4	6	3	6.0	18.75	3	11	4	7	3	8.0	25.0	4	17	7	10	4	6.0	18.75	2
3	5	54	21	33	5	6.0	18.75	5	54	26	28	5	7.0	21.875	6	67	27	40	5	5.0	15.625	4
4	4	15	7	8	4	6.0	18.75	4	52	20	32	5	6.0	18.75	5	48	20	28	5	5.0	15.625	3
4	6	58	23	35	5	6.0	18.75	6	47	21	26	5	6.0	18.75	6	64	27	37	5	5.0	15.625	3
4	4	52	20	32	5	6.0	18.75	5	19	9	10	5	5.0	15.625	8	67	28	39	5	5.0	15.625	4
4	5	54	21	33	5	6.0	18.75	5	19	9	10	5	5.0	15.625	7	62	26	36	5	5.0	15.625	4
4	4	18	7	11	5	5.0	15.625	3	7	3	4	4	8.0	25.0	4	18	7	11	5	5.0	15.625	1
4	3	7	3	4	4	8.0	25.0	8	59	24	35	5	6.0	18.75	8	62	26	36	5	5.0	15.625	4
