Generation	ProgID	Fitness	BScore	SatCount	NodeCount	Similarity%	Waste%	Depth	Length	Functions	Terminals	DTerminals	ModD
39	5602395	0.0	0.0	0.5	9	79.45205479452055	93.46938775510203	15	490	231	259	5	12
38	31225742	0.0	0.0	0.5	9	79.62328767123287	93.4560327198364	15	489	231	258	5	9
37	17740413	0.0	0.0	0.5	9	79.28082191780823	93.48268839103869	15	491	231	260	5	8
36	9066661	0.0	0.0	0.5	9	68.66438356164383	92.5754060324826	15	431	202	229	5	20
50	19959845	0.0	0.0	0.5	9	100.0	93.08855291576674	17	463	217	246	5	11
49	5331493	0.0	0.0	0.5	9	99.35483870967742	93.11827956989247	17	465	218	247	5	12
48	26567823	0.0	0.0	0.5	9	95.23809523809523	93.37474120082815	17	483	225	258	5	3
47	5849096	0.0	0.0	0.5	9	94.63917525773195	93.4020618556701	17	485	227	258	5	13
46	1904280	0.0	0.0	0.5	9	89.96062992125984	93.7007874015748	17	508	237	271	5	8
45	32290388	0.0	0.0	0.5	9	89.37007874015748	93.7007874015748	17	508	237	271	5	3
44	1392284	0.0	0.0	0.5	9	88.4765625	93.75	17	512	240	272	5	13
43	24320815	0.0	0.0	0.5	9	89.52569169960475	93.67588932806325	17	506	238	268	5	13
42	17045421	0.0	0.0	0.5	9	89.28571428571429	93.65079365079364	17	504	237	267	5	11
41	1504335	0.0	0.0	0.5	9	88.84462151394422	93.62549800796812	17	502	235	267	5	13
40	16664142	0.0	0.0	0.5	9	88.42315369261478	93.6127744510978	17	501	235	266	5	12
39	33172286	0.0	0.0	0.5	9	87.62475049900199	93.6127744510978	17	501	237	264	5	13
38	13261376	0.0	0.0	0.5	9	91.64926931106471	93.31941544885177	17	479	227	252	5	9
37	21406487	0.0	0.0	0.5	9	87.6889848812095	92.85714285714286	17	448	214	234	5	11
36	17960685	0.0	0.0	0.5	9	86.39308855291577	92.7927927927928	17	444	213	231	5	20
50	21470709	0.0	0.0	0.5	9	100.0	93.04347826086956	17	460	221	239	5	4
