1	0	19.692	18.0	33.588	
1	1	18.918	18.0	30.136	
1	2	18.426	18.0	34.972	
1	3	18.284	18.0	38.324	
1	4	18.224	18.0	44.824	
1	5	18.146	18.0	50.536	
1	6	18.132	18.0	53.652	
1	7	18.168	18.0	55.644	
1	8	18.104	18.0	63.332	
1	9	18.12	18.0	61.224	
1	10	18.082	18.0	61.184	
1	11	18.116	18.0	64.456	
1	12	18.108	18.0	59.98	
1	13	18.184	18.0	53.636	
1	14	18.21	18.0	50.708	
1	15	18.21	18.0	53.888	
1	16	18.17	18.0	58.32	
1	17	18.126	18.0	59.584	
1	18	18.12	18.0	57.528	
1	19	18.166	18.0	56.188	
1	20	18.15	18.0	61.552	
1	0	19.626	18.0	33.704	
1	1	19.398	18.0	32.292	
1	2	19.118	18.0	31.256	
1	3	18.6	18.0	41.988	
1	4	18.258	17.0	44.316	
1	5	18.226	17.0	47.0	
1	6	18.2	17.0	46.876	
1	7	18.2	17.0	53.872	
1	8	18.174	17.0	60.324	
1	9	18.134	17.0	63.032	
1	10	18.142	17.0	65.844	
1	11	18.138	17.0	75.42	
1	0	19.706	18.0	33.6	
1	1	19.448	18.0	34.104	
1	2	19.218	18.0	32.38	
1	3	18.812	17.0	42.132	
1	4	18.372	17.0	56.804	
1	5	18.306	17.0	61.572	
1	6	18.24	17.0	63.348	
1	0	19.648	18.0	33.616	
1	1	19.396	18.0	39.28	
1	2	19.164	18.0	42.196	
1	3	18.944	18.0	45.98	
1	0	19.62	18.0	33.632	
1	1	19.346	18.0	29.104	
1	2	18.928	18.0	36.316	
1	3	18.498	18.0	47.152	
1	4	18.128	18.0	61.26	
1	5	18.166	18.0	63.232	
1	6	18.172	18.0	63.8	
1	7	18.156	18.0	66.544	
1	8	18.146	18.0	66.856	
1	9	18.094	17.0	68.436	
1	0	19.632	18.0	33.624	
1	1	19.422	18.0	29.4	
1	2	19.21	18.0	40.048	
1	3	19.162	18.0	36.576	
1	4	19.096	18.0	38.404	
1	5	18.822	18.0	44.264	
1	6	18.456	18.0	55.452	
1	7	18.424	18.0	59.04	
1	8	18.342	18.0	64.008	
1	0	19.616	18.0	33.664	
1	1	19.464	18.0	20.668	
1	2	19.148	18.0	37.312	
1	3	19.008	18.0	41.472	
1	0	19.636	18.0	33.616	
1	1	18.77	18.0	41.876	
1	2	18.392	18.0	49.716	
1	3	18.308	18.0	50.304	
1	4	18.206	18.0	56.708	
1	5	18.152	18.0	60.548	
1	6	18.13	18.0	63.944	
1	7	18.12	18.0	62.008	
1	8	18.106	18.0	64.28	
1	9	18.074	18.0	65.136	
