Run	Generation	Node Average	Node StDev	Node Max	Node Min	Node Range
1	1	15.438	4.361898210641787	30	5	25
1	2	17.122	6.239480427086863	39	0	39
1	3	19.294	8.316703914412258	49	0	49
1	4	20.838	11.718692589192692	87	0	87
1	5	22.036	12.266650072452578	73	0	73
2	1	15.42	4.668147384134311	34	4	30
2	2	16.744	7.176800401293042	49	0	49
2	3	17.528	8.90579676390608	59	0	59
2	4	19.768	11.861794805171806	69	0	69
2	5	21.556	10.965713109506376	54	0	54
